Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2021,Stevens,WA,Passenger,49,44,93,30262,30355,0.31
December 31 2019,King,WA,Truck,6,1,7,182180,182187,0.00
June 30 2023,Mason,WA,Truck,11,0,11,20726,20737,0.05
November 30 2021,Santa Cruz,CA,Passenger,1,0,1,28,29,3.45
November 30 2021,Charleston,SC,Passenger,2,1,3,83,86,3.49
July 31 2017,Hardin,KY,Passenger,0,1,1,116,117,0.85
August 31 2022,Providence,RI,Passenger,1,0,1,21,22,4.55
June 30 2020,Hamilton,IN,Passenger,1,0,1,42,43,2.33
April 30 2021,Hawaii,HI,Passenger,1,0,1,55,56,1.79
September 30 2022,Kootenai,ID,Truck,1,0,1,36,37,2.70
May 31 2021,Sumter,FL,Passenger,0,1,1,10,11,9.09
October 31 2020,Dallas,IA,Passenger,0,1,1,10,11,9.09
April 30 2018,Lake,CA,Passenger,0,1,1,8,9,11.11
May 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
November 30 2021,Burlington,NJ,Passenger,0,1,1,119,120,0.83
November 30 2020,Maricopa,AZ,Passenger,5,9,14,1428,1442,0.97
December 31 2022,Los Angeles,CA,Passenger,4,6,10,753,763,1.31
October 31 2019,Spokane,WA,Passenger,615,463,1078,314253,315331,0.34
October 31 2020,Yakima,WA,Passenger,157,122,279,166847,167126,0.17
October 31 2017,Gwinnett,GA,Passenger,0,1,1,88,89,1.12
October 31 2022,Solano,CA,Passenger,2,0,2,162,164,1.22
October 31 2021,Montgomery,PA,Passenger,2,0,2,24,26,7.69
February 28 2017,Madison,ID,Passenger,1,0,1,44,45,2.22
July 31 2022,Columbia,OR,Passenger,1,0,1,16,17,5.88
August 31 2020,Skamania,WA,Passenger,31,22,53,8369,8422,0.63
September 30 2017,Lewis,WA,Passenger,53,40,93,56023,56116,0.17
December 31 2019,Bexar,TX,Passenger,0,5,5,672,677,0.74
August 31 2021,Snohomish,WA,Truck,1,0,1,125975,125976,0.00
June 30 2020,,,Passenger,6,1,7,388,395,1.77
June 30 2023,Garfield,WA,Passenger,1,3,4,1302,1306,0.31
May 31 2018,St. Clair,IL,Passenger,0,1,1,156,157,0.64
September 30 2022,Allen,IN,Passenger,1,0,1,19,20,5.00
July 31 2019,Walla Walla,WA,Passenger,52,61,113,36201,36314,0.31
March 31 2022,Sarpy,NE,Passenger,1,0,1,64,65,1.54
January 31 2023,Bryan,GA,Passenger,0,1,1,33,34,2.94
January 31 2019,Clark,WA,Truck,0,0,0,79955,79955,0.00
April 30 2023,Kittitas,WA,Truck,8,0,8,14536,14544,0.06
March 31 2022,Skagit,WA,Passenger,730,326,1056,90422,91478,1.15
September 30 2020,Walla Walla,WA,Truck,0,0,0,13788,13788,0.00
May 31 2017,Jefferson,WA,Passenger,103,59,162,23820,23982,0.68
September 30 2017,Alameda,CA,Passenger,0,1,1,356,357,0.28
June 30 2018,Adams,WA,Truck,0,0,0,5163,5163,0.00
June 30 2022,Escambia,FL,Passenger,0,1,1,141,142,0.70
May 31 2019,Cook,IL,Passenger,1,0,1,249,250,0.40
January 31 2021,Columbia,OR,Passenger,1,0,1,23,24,4.17
December 31 2017,Montgomery,PA,Passenger,1,0,1,39,40,2.50
January 31 2017,Pima,AZ,Passenger,0,2,2,483,485,0.41
July 31 2020,Asotin,WA,Passenger,16,12,28,12373,12401,0.23
September 30 2020,Garfield,WA,Truck,0,0,0,985,985,0.00
November 30 2017,Columbia,WA,Truck,0,0,0,1538,1538,0.00
February 28 2023,Lee,AL,Passenger,1,0,1,15,16,6.25
June 30 2020,Williams,ND,Passenger,0,1,1,11,12,8.33
September 30 2021,Meade,KY,Passenger,1,0,1,26,27,3.70
April 30 2023,Dorchester,SC,Passenger,1,0,1,51,52,1.92
November 30 2022,Portsmouth,VA,Passenger,0,1,1,80,81,1.23
March 31 2023,Prince William,VA,Passenger,1,2,3,175,178,1.69
May 31 2022,Leavenworth,KS,Passenger,0,1,1,103,104,0.96
October 31 2022,Fairfax,VA,Passenger,7,3,10,623,633,1.58
November 30 2018,Brevard,FL,Passenger,0,1,1,96,97,1.03
December 31 2022,San Juan,WA,Passenger,559,170,729,13886,14615,4.99
October 31 2019,Douglas,NE,Passenger,0,1,1,60,61,1.64
December 31 2022,Anne Arundel,MD,Passenger,3,3,6,313,319,1.88
March 31 2023,Norfolk,VA,Passenger,2,2,4,290,294,1.36
January 31 2022,Spartanburg,SC,Passenger,0,1,1,48,49,2.04
September 30 2017,Portsmouth,VA,Passenger,0,1,1,64,65,1.54
July 31 2022,Las Animas,CO,Passenger,1,0,1,1,2,50.00
November 30 2022,Okanogan,WA,Truck,2,0,2,16451,16453,0.01
January 31 2022,Calvert,MD,Passenger,0,2,2,82,84,2.38
March 31 2022,Multnomah,OR,Passenger,1,4,5,604,609,0.82
June 30 2020,Columbia,WA,Truck,0,0,0,1531,1531,0.00
