Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2019,Maricopa,AZ,Passenger,7,6,13,1606,1619,0.80
May 31 2019,Los Angeles,CA,Passenger,6,5,11,1123,1134,0.97
December 31 2017,Orange,FL,Passenger,1,1,2,140,142,1.41
May 31 2023,Fairfax,VA,Passenger,7,3,10,591,601,1.66
October 31 2017,Latah,ID,Passenger,0,1,1,87,88,1.14
May 31 2021,Wahkiakum,WA,Passenger,13,7,20,3112,3132,0.64
January 31 2018,Wahkiakum,WA,Passenger,0,2,2,2844,2846,0.07
March 31 2022,Benton,WA,Truck,1,0,1,43599,43600,0.00
May 31 2019,Ferry,WA,Truck,0,0,0,3589,3589,0.00
August 31 2022,Norfolk,MA,Passenger,1,0,1,23,24,4.17
November 30 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
October 31 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
October 31 2022,Spokane,WA,Passenger,1832,909,2741,324074,326815,0.84
November 30 2019,Larimer,CO,Passenger,1,0,1,56,57,1.75
January 31 2019,,,Passenger,4,2,6,423,429,1.40
January 31 2021,Charleston,SC,Passenger,2,0,2,90,92,2.17
September 30 2020,San Diego,CA,Passenger,16,3,19,2735,2754,0.69
May 31 2020,Grant,WA,Truck,0,0,0,26975,26975,0.00
October 31 2017,Skagit,WA,Truck,1,0,1,31625,31626,0.00
November 30 2020,San Joaquin,CA,Passenger,1,0,1,116,117,0.85
June 30 2022,Platte,MO,Passenger,1,0,1,23,24,4.17
December 31 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
June 30 2019,Shelby,OH,Passenger,0,1,1,2,3,33.33
June 30 2022,King,WA,Passenger,40706,11305,52011,1347146,1399157,3.72
May 31 2018,Hamilton,TN,Passenger,1,0,1,23,24,4.17
November 30 2020,Polk,FL,Passenger,1,0,1,69,70,1.43
December 31 2022,Muscogee,GA,Passenger,0,1,1,112,113,0.88
October 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
March 31 2022,Clallam,WA,Truck,1,0,1,22041,22042,0.00
July 31 2023,Asotin,WA,Truck,0,0,0,6631,6631,0.00
January 31 2023,Riverside,CA,Passenger,7,0,7,427,434,1.61
December 31 2019,Middlesex,MA,Passenger,1,0,1,107,108,0.93
March 31 2024,Pierce,WA,Passenger,10074,3289,13363,506947,520310,2.57
May 31 2019,Whitman,WA,Truck,0,0,0,8551,8551,0.00
October 31 2023,Kootenai,ID,Truck,1,0,1,24,25,4.00
June 30 2020,Harrison,MS,Passenger,1,0,1,55,56,1.79
January 31 2023,New Haven,CT,Passenger,0,2,2,29,31,6.45
January 31 2017,Hood River,OR,Passenger,1,0,1,43,44,2.27
May 31 2023,Providence,RI,Passenger,1,0,1,17,18,5.56
June 30 2020,San Mateo,CA,Passenger,0,1,1,118,119,0.84
April 30 2022,Douglas,CO,Passenger,0,1,1,82,83,1.20
October 31 2017,Orleans,LA,Passenger,0,1,1,46,47,2.13
February 28 2022,Columbia,WA,Truck,0,0,0,1570,1570,0.00
June 30 2023,Asotin,WA,Passenger,36,22,58,12404,12462,0.47
February 28 2021,Montgomery,MD,Passenger,1,0,1,232,233,0.43
December 31 2021,Spartanburg,SC,Passenger,0,1,1,49,50,2.00
February 28 2019,Palm Beach,FL,Passenger,0,2,2,91,93,2.15
April 30 2017,Pima,AZ,Passenger,0,2,2,457,459,0.44
April 30 2023,Collin,TX,Passenger,4,0,4,57,61,6.56
November 30 2022,Gwinnett,GA,Passenger,1,0,1,53,54,1.85
April 30 2022,Williamsburg,VA,Passenger,0,1,1,6,7,14.29
August 31 2020,Camden,NJ,Passenger,0,1,1,23,24,4.17
August 31 2023,Hennepin,MN,Passenger,1,0,1,35,36,2.78
November 30 2023,Spokane,WA,Truck,54,0,54,101247,101301,0.05
January 31 2023,Thurston,WA,Passenger,2694,1142,3836,191563,195399,1.96
October 31 2018,Skamania,WA,Passenger,18,12,30,8724,8754,0.34
February 28 2017,Orange,CA,Passenger,2,1,3,688,691,0.43
September 30 2018,Clackamas,OR,Passenger,0,1,1,217,218,0.46
February 28 2021,Salt Lake,UT,Passenger,0,1,1,189,190,0.53
June 30 2021,Fort Bend,TX,Passenger,1,0,1,37,38,2.63
November 30 2023,Saratoga,NY,Passenger,1,1,2,30,32,6.25
September 30 2022,Contra Costa,CA,Passenger,0,3,3,223,226,1.33
October 31 2023,Douglas,CO,Passenger,0,2,2,44,46,4.35
August 31 2023,Howard,MD,Passenger,0,2,2,54,56,3.57
July 31 2022,Clinton,PA,Passenger,1,0,1,1,2,50.00
February 28 2023,Hanover,VA,Passenger,1,0,1,1,2,50.00
July 31 2023,Ulster,NY,Passenger,1,0,1,8,9,11.11
November 30 2018,Thurston,WA,Passenger,707,566,1273,195359,196632,0.65
December 31 2022,Grays Harbor,WA,Passenger,246,160,406,48616,49022,0.83
December 31 2020,El Paso,TX,Passenger,3,0,3,412,415,0.72
August 31 2020,Carroll,NH,Passenger,0,1,1,5,6,16.67
October 31 2020,Dakota,MN,Passenger,0,1,1,29,30,3.33
September 30 2019,Fresno,CA,Passenger,1,0,1,207,208,0.48
November 30 2019,Anne Arundel,MD,Passenger,1,1,2,433,435,0.46
January 31 2017,San Juan,WA,Truck,0,0,0,5592,5592,0.00
December 31 2021,Harnett,NC,Passenger,1,1,2,169,171,1.17
June 30 2022,Sarpy,NE,Passenger,1,0,1,64,65,1.54
February 28 2023,Albemarle,VA,Passenger,2,0,2,16,18,11.11
December 31 2022,Kittitas,WA,Truck,5,0,5,14565,14570,0.03
November 30 2021,Okanogan,WA,Truck,0,0,0,16677,16677,0.00
May 31 2021,Garfield,WA,Passenger,0,2,2,1367,1369,0.15
October 31 2018,Cochise,AZ,Passenger,0,1,1,118,119,0.84
February 28 2021,Queens,NY,Passenger,2,0,2,52,54,3.70
October 31 2022,Allegheny,PA,Passenger,2,1,3,63,66,4.55
May 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
January 31 2024,Collin,TX,Passenger,3,0,3,33,36,8.33
June 30 2022,Skagit,WA,Passenger,779,337,1116,90056,91172,1.22
February 28 2018,Okaloosa,FL,Passenger,1,0,1,181,182,0.55
November 30 2019,Arlington,VA,Passenger,0,2,2,156,158,1.27
April 30 2022,Hillsborough,FL,Passenger,0,3,3,135,138,2.17
March 31 2021,Fort Bend,TX,Passenger,1,0,1,40,41,2.44
January 31 2023,Portsmouth,VA,Passenger,0,1,1,73,74,1.35
November 30 2019,St. Mary's,MD,Passenger,1,0,1,216,217,0.46
June 30 2022,Saratoga,NY,Passenger,1,0,1,42,43,2.33
December 31 2019,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
September 30 2019,New London,CT,Passenger,0,1,1,239,240,0.42
September 30 2022,Cumberland,NC,Passenger,1,4,5,365,370,1.35
June 30 2021,Champaign,IL,Passenger,1,0,1,12,13,7.69
May 31 2023,St. Louis,MN,Passenger,0,1,1,8,9,11.11
August 31 2021,Harnett,NC,Passenger,1,1,2,179,181,1.10
March 31 2024,Monterey,CA,Truck,1,0,1,28,29,3.45
January 31 2019,Twin Falls,ID,Passenger,0,1,1,21,22,4.55
July 31 2022,Snohomish,WA,Passenger,8655,2562,11217,531063,542280,2.07
December 31 2018,Whitman,WA,Passenger,24,38,62,22803,22865,0.27
May 31 2020,Pacific,WA,Passenger,31,33,64,15696,15760,0.41
January 31 2018,Deschutes,OR,Passenger,1,0,1,186,187,0.53
December 31 2018,Lee,FL,Passenger,1,0,1,52,53,1.89
January 31 2022,Currituck,NC,Passenger,1,0,1,23,24,4.17
June 30 2020,Washtenaw,MI,Passenger,1,0,1,36,37,2.70
January 31 2021,Kitsap,WA,Truck,0,0,0,54271,54271,0.00
January 31 2023,Onslow,NC,Passenger,0,1,1,152,153,0.65
May 31 2023,Broward,FL,Passenger,1,0,1,66,67,1.49
April 30 2018,Virginia Beach,VA,Passenger,2,1,3,675,678,0.44
February 29 2020,Penobscot,ME,Passenger,0,1,1,16,17,5.88
April 30 2023,Yakima,WA,Truck,11,0,11,61143,61154,0.02
July 31 2019,Lincoln,WA,Passenger,2,10,12,7793,7805,0.15
September 30 2021,Whatcom,WA,Passenger,1541,641,2182,150447,152629,1.43
July 31 2019,Camden,NJ,Passenger,0,1,1,25,26,3.85
August 31 2023,Orange,CA,Passenger,8,3,11,311,322,3.42
May 31 2023,Washtenaw,MI,Passenger,0,2,2,23,25,8.00
December 31 2020,Ramsey,MN,Passenger,1,0,1,37,38,2.63
May 31 2020,Walla Walla,WA,Truck,0,0,0,13669,13669,0.00
March 31 2022,Lincoln,WA,Truck,0,0,0,4832,4832,0.00
September 30 2022,Jefferson,NY,Passenger,1,0,1,211,212,0.47
February 29 2024,Montgomery,OH,Passenger,0,1,1,34,35,2.86
September 30 2020,Grays Harbor,WA,Passenger,115,116,231,48467,48698,0.47
July 31 2021,Walla Walla,WA,Truck,0,0,0,14052,14052,0.00
October 31 2017,Collin,TX,Passenger,0,1,1,151,152,0.66
July 31 2018,Norfolk,VA,Passenger,2,2,4,332,336,1.19
August 31 2018,Asotin,WA,Passenger,11,8,19,12659,12678,0.15
December 31 2018,Hennepin,MN,Passenger,2,0,2,105,107,1.87
September 30 2020,Hillsborough,FL,Passenger,0,1,1,179,180,0.56
January 31 2023,,,Passenger,4,0,4,290,294,1.36
December 31 2021,Tarrant,TX,Passenger,3,0,3,144,147,2.04
February 28 2023,Ventura,CA,Passenger,3,2,5,228,233,2.15
July 31 2023,Marion,OR,Passenger,1,0,1,68,69,1.45
August 31 2019,Kitsap,WA,Passenger,1112,633,1745,181456,183201,0.95
July 31 2021,Calvert,MD,Passenger,0,2,2,90,92,2.17
September 30 2019,Carroll,NH,Passenger,0,1,1,3,4,25.00
December 31 2019,New London,CT,Passenger,0,1,1,241,242,0.41
January 31 2020,Spartanburg,SC,Passenger,0,1,1,47,48,2.08
May 31 2018,Klamath,OR,Passenger,1,0,1,35,36,2.78
February 29 2024,Caddo,LA,Passenger,2,0,2,10,12,16.67
October 31 2022,Clackamas,OR,Passenger,1,0,1,134,135,0.74
July 31 2019,Pacific,WA,Truck,0,0,0,7664,7664,0.00
March 31 2017,District of Columbia,DC,Passenger,0,3,3,222,225,1.33
August 31 2019,Klamath,OR,Passenger,1,0,1,41,42,2.38
November 30 2019,Clark,NV,Passenger,5,2,7,706,713,0.98
April 30 2017,Chelan,WA,Truck,0,0,0,21207,21207,0.00
January 31 2020,Alexandria,VA,Passenger,1,0,1,142,143,0.70
August 31 2020,New London,CT,Passenger,1,1,2,235,237,0.84
January 31 2017,Northampton,PA,Passenger,2,0,2,259,261,0.77
April 30 2023,Lee,AL,Passenger,1,0,1,15,16,6.25
December 31 2021,Sedgwick,KS,Passenger,1,1,2,83,85,2.35
February 28 2017,Maricopa,AZ,Passenger,3,1,4,1894,1898,0.21
December 31 2020,Solano,CA,Passenger,1,0,1,209,210,0.48
April 30 2017,Norfolk,VA,Passenger,1,1,2,302,304,0.66
December 31 2022,Chesterfield,VA,Passenger,1,0,1,37,38,2.63
February 29 2020,Nueces,TX,Passenger,1,0,1,82,83,1.20
March 31 2023,Chelan,WA,Passenger,580,150,730,54186,54916,1.33
July 31 2021,King,WA,Truck,5,1,6,184287,184293,0.00
July 31 2019,Lewis,WA,Passenger,100,98,198,59358,59556,0.33
December 31 2021,Prince George's,MD,Passenger,2,1,3,156,159,1.89
June 30 2023,Riverside,CA,Passenger,6,0,6,387,393,1.53
April 30 2019,Polk,FL,Passenger,1,0,1,70,71,1.41
August 31 2020,Ramsey,MN,Passenger,1,0,1,39,40,2.50
December 31 2023,Gwinnett,GA,Passenger,1,0,1,37,38,2.63
January 31 2024,Maui,HI,Passenger,1,0,1,19,20,5.00
November 30 2023,Parker,TX,Passenger,0,1,1,13,14,7.14
July 31 2019,Harrison,MS,Passenger,1,0,1,65,66,1.52
January 31 2024,Wichita,TX,Passenger,2,0,2,33,35,5.71
November 30 2019,Saginaw,MI,Passenger,1,0,1,12,13,7.69
May 31 2018,Asotin,WA,Passenger,8,6,14,12599,12613,0.11
September 30 2022,,,Passenger,4,1,5,305,310,1.61
March 31 2022,Stevens,WA,Truck,0,0,0,18985,18985,0.00
October 31 2019,Arlington,VA,Passenger,0,2,2,154,156,1.28
November 30 2019,Camden,NJ,Passenger,0,1,1,22,23,4.35
July 31 2022,Denton,TX,Passenger,2,0,2,64,66,3.03
September 30 2020,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
October 31 2023,Palm Beach,FL,Passenger,0,1,1,42,43,2.33
August 31 2018,Eagle,CO,Passenger,1,0,1,5,6,16.67
February 29 2020,Oldham,KY,Passenger,0,1,1,4,5,20.00
January 31 2019,Sacramento,CA,Passenger,0,1,1,308,309,0.32
September 30 2020,Tulsa,OK,Passenger,1,1,2,47,49,4.08
January 31 2023,St. Lawrence,NY,Passenger,1,0,1,2,3,33.33
March 31 2022,Snohomish,WA,Passenger,7661,2361,10022,534532,544554,1.84
April 30 2021,Mason,WA,Passenger,191,132,323,48081,48404,0.67
June 30 2022,Pinal,AZ,Passenger,0,1,1,136,137,0.73
June 30 2018,Shelby,TN,Passenger,0,1,1,106,107,0.93
April 30 2023,Goochland,VA,Passenger,2,2,4,61,65,6.15
September 30 2023,Skagit,WA,Passenger,1235,448,1683,88613,90296,1.86
February 29 2020,Whatcom,WA,Passenger,1043,486,1529,151559,153088,1.00
April 30 2017,Hawaii,HI,Passenger,1,0,1,87,88,1.14
April 30 2023,Plaquemines,LA,Passenger,1,1,2,20,22,9.09
December 31 2022,Autauga,AL,Passenger,2,0,2,13,15,13.33
October 31 2020,Bucks,PA,Passenger,1,0,1,21,22,4.55
December 31 2022,Columbia,OR,Passenger,1,0,1,12,13,7.69
April 30 2020,Saginaw,MI,Passenger,1,0,1,12,13,7.69
September 30 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
May 31 2020,Ferry,WA,Passenger,5,3,8,4332,4340,0.18
August 31 2021,Prince George's,MD,Passenger,2,1,3,153,156,1.92
October 31 2019,San Joaquin,CA,Passenger,1,0,1,142,143,0.70
January 31 2017,Clallam,WA,Passenger,73,64,137,48003,48140,0.28
July 31 2019,Stevens,WA,Passenger,20,30,50,31703,31753,0.16
June 30 2020,Adams,WA,Passenger,9,7,16,12781,12797,0.13
March 31 2022,Salt Lake,UT,Passenger,1,1,2,164,166,1.20
April 30 2022,Harris,TX,Passenger,2,0,2,179,181,1.10
November 30 2017,Hardin,KY,Passenger,0,1,1,114,115,0.87
August 31 2022,Mercer,NJ,Passenger,0,1,1,14,15,6.67
August 31 2021,Pulaski,MO,Passenger,1,0,1,132,133,0.75
March 31 2021,Bradley,TN,Passenger,1,0,1,0,1,100.00
November 30 2022,Yavapai,AZ,Passenger,0,1,1,22,23,4.35
May 31 2019,Norfolk,VA,Passenger,2,2,4,349,353,1.13
October 31 2017,St. Clair,IL,Passenger,0,1,1,163,164,0.61
October 31 2018,Clark,NV,Passenger,3,2,5,740,745,0.67
February 28 2023,San Mateo,CA,Passenger,1,0,1,71,72,1.39
March 31 2020,Richland,SC,Passenger,0,1,1,156,157,0.64
April 30 2021,Garfield,WA,Truck,0,0,0,1005,1005,0.00
July 31 2017,Stevens,WA,Passenger,8,23,31,31389,31420,0.10
January 31 2022,San Bernardino,CA,Passenger,2,1,3,372,375,0.80
January 31 2020,El Paso,TX,Passenger,3,0,3,453,456,0.66
September 30 2020,Middlesex,MA,Passenger,1,0,1,93,94,1.06
January 31 2020,Shelby,OH,Passenger,0,1,1,2,3,33.33
December 31 2019,Franklin,WA,Truck,0,0,0,19775,19775,0.00
July 31 2021,Walla Walla,WA,Passenger,115,76,191,36544,36735,0.52
July 31 2023,Dorchester,SC,Passenger,1,0,1,43,44,2.27
July 31 2018,San Diego,CA,Passenger,7,1,8,2575,2583,0.31
July 31 2020,Maricopa,AZ,Passenger,5,9,14,1507,1521,0.92
June 30 2023,Okanogan,WA,Truck,7,0,7,16454,16461,0.04
June 30 2019,Orange,CA,Passenger,6,1,7,552,559,1.25
August 31 2020,San Juan,WA,Truck,0,0,0,5835,5835,0.00
September 30 2019,Pierce,WA,Truck,0,0,0,140431,140431,0.00
July 31 2020,Gwinnett,GA,Passenger,1,0,1,74,75,1.33
August 31 2017,King,WA,Truck,7,1,8,186741,186749,0.00
February 28 2021,Carroll,MD,Passenger,0,1,1,18,19,5.26
September 30 2021,Alameda,CA,Passenger,5,0,5,237,242,2.07
November 30 2017,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
March 31 2017,King,WA,Passenger,9315,3786,13101,1382490,1395591,0.94
December 31 2020,Rockingham,NH,Passenger,1,0,1,21,22,4.55
September 30 2022,Yakima,WA,Truck,3,0,3,61377,61380,0.00
September 30 2023,Grant,WA,Passenger,327,147,474,67327,67801,0.70
December 31 2017,Jefferson,WA,Passenger,121,74,195,24282,24477,0.80
June 30 2021,Grant,WA,Passenger,107,89,196,66941,67137,0.29
January 31 2024,Wahkiakum,WA,Passenger,32,21,53,3017,3070,1.73
February 28 2021,Honolulu,HI,Passenger,5,2,7,448,455,1.54
October 31 2023,Monterey,CA,Passenger,0,3,3,116,119,2.52
August 31 2018,Grays Harbor,WA,Passenger,54,65,119,46985,47104,0.25
September 30 2021,Pima,AZ,Passenger,1,1,2,286,288,0.69
July 31 2018,Cook,IL,Passenger,1,0,1,259,260,0.38
July 31 2018,St. Lucie,FL,Passenger,1,0,1,29,30,3.33
September 30 2023,Hennepin,MN,Passenger,1,0,1,35,36,2.78
July 31 2018,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
December 31 2021,Fort Bend,TX,Passenger,1,0,1,32,33,3.03
June 30 2023,New Haven,CT,Passenger,0,2,2,26,28,7.14
October 31 2021,Suffolk,MA,Passenger,0,2,2,28,30,6.67
May 31 2017,Collin,TX,Passenger,0,1,1,146,147,0.68
August 31 2018,St. Clair,IL,Passenger,0,1,1,161,162,0.62
July 31 2023,Charleston,SC,Passenger,1,2,3,50,53,5.66
January 31 2022,Wichita,TX,Passenger,1,0,1,45,46,2.17
August 31 2023,Houston,GA,Passenger,1,0,1,30,31,3.23
August 31 2023,Stafford,VA,Passenger,3,0,3,78,81,3.70
September 30 2019,Charles,MD,Passenger,0,1,1,91,92,1.09
October 31 2018,Wahkiakum,WA,Truck,0,0,0,1701,1701,0.00
July 31 2019,Franklin,MA,Passenger,0,1,1,1,2,50.00
April 30 2023,Klickitat,WA,Passenger,138,60,198,15161,15359,1.29
February 28 2022,Duval,FL,Passenger,0,2,2,317,319,0.63
May 31 2021,Fairbanks North Star,AK,Passenger,0,1,1,89,90,1.11
March 31 2020,Kern,CA,Passenger,0,1,1,224,225,0.44
August 31 2022,Salt Lake,UT,Passenger,1,1,2,140,142,1.41
September 30 2018,Benton,WA,Truck,0,0,0,41344,41344,0.00
May 31 2018,Frederick,MD,Passenger,0,1,1,86,87,1.15
November 30 2017,Travis,TX,Passenger,1,1,2,191,193,1.04
February 28 2021,Fulton,GA,Passenger,0,3,3,92,95,3.16
January 31 2017,Grays Harbor,WA,Passenger,27,24,51,44309,44360,0.11
March 31 2023,Stevens,WA,Passenger,103,60,163,29808,29971,0.54
October 31 2017,Columbia,WA,Passenger,1,1,2,2394,2396,0.08
June 30 2022,Sheridan,WY,Passenger,1,0,1,7,8,12.50
April 30 2021,Okanogan,WA,Passenger,60,36,96,26400,26496,0.36
July 31 2023,Dallas,TX,Passenger,1,0,1,82,83,1.20
August 31 2017,Prince George's,MD,Passenger,0,1,1,189,190,0.53
January 31 2021,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
August 31 2023,Berkeley,SC,Passenger,0,1,1,94,95,1.05
January 31 2024,San Bernardino,CA,Passenger,2,1,3,246,249,1.20
November 30 2019,Shelby,TN,Passenger,0,1,1,102,103,0.97
February 28 2017,Muscogee,GA,Passenger,0,1,1,257,258,0.39
December 31 2021,Montgomery,TX,Passenger,1,1,2,43,45,4.44
August 31 2017,Bergen,NJ,Passenger,0,2,2,31,33,6.06
November 30 2022,Clark,WA,Truck,39,0,39,81982,82021,0.05
August 31 2022,Wahkiakum,WA,Passenger,24,12,36,3078,3114,1.16
February 28 2023,Adams,CO,Passenger,1,0,1,28,29,3.45
February 29 2020,Douglas,WA,Truck,0,0,0,12317,12317,0.00
January 31 2021,Chelan,WA,Truck,0,0,0,22830,22830,0.00
May 31 2022,San Joaquin,CA,Passenger,1,1,2,99,101,1.98
October 31 2017,San Mateo,CA,Passenger,0,1,1,149,150,0.67
August 31 2022,Saratoga,NY,Passenger,1,0,1,42,43,2.33
November 30 2019,Oldham,KY,Passenger,0,1,1,5,6,16.67
January 31 2023,Mason,WA,Passenger,379,190,569,46741,47310,1.20
November 30 2023,Wichita,TX,Passenger,2,0,2,34,36,5.56
February 28 2021,Virginia Beach,VA,Passenger,2,0,2,627,629,0.32
May 31 2021,DeKalb,GA,Passenger,1,0,1,60,61,1.64
May 31 2017,Orleans,LA,Passenger,0,1,1,49,50,2.00
October 31 2023,Adams,CO,Passenger,1,0,1,16,17,5.88
March 31 2021,Hillsborough,FL,Passenger,0,1,1,163,164,0.61
August 31 2019,Harnett,NC,Passenger,1,1,2,218,220,0.91
November 30 2021,Wichita,TX,Passenger,1,0,1,45,46,2.17
November 30 2017,Pierce,WA,Truck,0,0,0,136998,136998,0.00
December 31 2023,Columbia,WA,Truck,0,0,0,1548,1548,0.00
July 31 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
March 31 2023,Saratoga,NY,Passenger,1,1,2,37,39,5.13
March 31 2020,Benton,WA,Passenger,343,319,662,135128,135790,0.49
May 31 2019,Lewis,WA,Truck,0,0,0,25912,25912,0.00
November 30 2023,St. Mary's,MD,Passenger,1,0,1,169,170,0.59
December 31 2018,Ada,ID,Passenger,0,2,2,325,327,0.61
August 31 2020,Shasta,CA,Passenger,1,0,1,37,38,2.63
January 31 2018,Brevard,FL,Passenger,0,1,1,103,104,0.96
October 31 2020,Newport,RI,Passenger,0,1,1,85,86,1.16
March 31 2021,Pinellas,FL,Passenger,1,1,2,102,104,1.92
June 30 2020,Bucks,PA,Passenger,1,0,1,21,22,4.55
July 31 2018,Pierce,WA,Passenger,1262,1194,2456,533382,535838,0.46
February 28 2023,Riverside,CA,Passenger,7,0,7,424,431,1.62
February 28 2018,Prince George,VA,Passenger,0,1,1,72,73,1.37
December 31 2020,Orange,FL,Passenger,1,0,1,120,121,0.83
February 28 2022,San Luis Obispo,CA,Passenger,1,0,1,62,63,1.59
September 30 2022,Autauga,AL,Passenger,1,0,1,14,15,6.67
April 30 2021,Putnam,TN,Passenger,0,1,1,1,2,50.00
March 31 2020,Pierce,WA,Passenger,2310,1692,4002,550908,554910,0.72
March 31 2021,Duval,FL,Passenger,0,2,2,361,363,0.55
July 31 2020,Walla Walla,WA,Truck,0,0,0,13754,13754,0.00
March 31 2022,Spartanburg,SC,Passenger,0,1,1,44,45,2.22
August 31 2018,Volusia,FL,Passenger,0,1,1,37,38,2.63
June 30 2019,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
December 31 2017,Morris,NJ,Passenger,1,0,1,21,22,4.55
June 30 2020,Whitman,WA,Passenger,44,48,92,22129,22221,0.41
February 28 2017,Shoshone,ID,Passenger,0,1,1,82,83,1.20
May 31 2022,Wilson,TX,Passenger,0,1,1,3,4,25.00
May 31 2021,Polk,FL,Passenger,1,0,1,64,65,1.54
June 30 2021,Wichita,TX,Passenger,1,0,1,43,44,2.27
April 30 2023,Camden,NJ,Passenger,0,1,1,13,14,7.14
September 30 2018,Twin Falls,ID,Passenger,0,1,1,22,23,4.35
November 30 2023,Clallam,WA,Passenger,650,311,961,48812,49773,1.93
November 30 2017,Walla Walla,WA,Passenger,29,31,60,35236,35296,0.17
March 31 2020,Washington,OR,Passenger,1,0,1,469,470,0.21
November 30 2021,Jefferson,NY,Passenger,1,0,1,215,216,0.46
May 31 2018,Ferry,WA,Truck,0,0,0,3503,3503,0.00
April 30 2018,Lee,AL,Passenger,1,0,1,32,33,3.03
September 30 2017,Pacific,WA,Truck,0,0,0,7512,7512,0.00
August 31 2018,San Juan,WA,Truck,0,0,0,5752,5752,0.00
November 30 2018,Grays Harbor,WA,Passenger,61,68,129,47370,47499,0.27
August 31 2020,Boulder,CO,Passenger,1,1,2,44,46,4.35
April 30 2023,Kauai,HI,Passenger,1,1,2,14,16,12.50
January 31 2023,Pulaski,MO,Passenger,3,0,3,98,101,2.97
February 28 2018,Clay,FL,Passenger,0,1,1,102,103,0.97
June 30 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
June 30 2019,Richland,SC,Passenger,0,1,1,163,164,0.61
November 30 2023,Travis,TX,Passenger,2,0,2,77,79,2.53
February 28 2022,Skamania,WA,Truck,0,0,0,3997,3997,0.00
January 31 2021,Fulton,GA,Passenger,0,3,3,93,96,3.12
November 30 2023,Douglas,NE,Passenger,1,1,2,24,26,7.69
March 31 2019,Washoe,NV,Passenger,2,0,2,113,115,1.74
June 30 2021,Stevens,WA,Truck,0,0,0,18941,18941,0.00
November 30 2022,Placer,CA,Passenger,2,0,2,68,70,2.86
December 31 2017,Lincoln,WA,Truck,0,0,0,4493,4493,0.00
July 31 2020,Ferry,WA,Truck,0,0,0,3569,3569,0.00
September 30 2022,Loudoun,VA,Passenger,2,1,3,65,68,4.41
December 31 2019,Yakima,WA,Passenger,117,114,231,166270,166501,0.14
March 31 2022,Lincoln,WA,Passenger,7,18,25,7664,7689,0.33
October 31 2021,Alexandria,VA,Passenger,3,0,3,120,123,2.44
January 31 2022,Los Angeles,CA,Passenger,8,7,15,878,893,1.68
March 31 2023,Louisa,VA,Passenger,0,1,1,1,2,50.00
April 30 2019,Norfolk,MA,Passenger,1,0,1,39,40,2.50
October 31 2017,Nassau,NY,Passenger,1,1,2,40,42,4.76
December 31 2022,Nassau,NY,Passenger,2,0,2,27,29,6.90
February 28 2022,Randolph,NC,Passenger,1,0,1,6,7,14.29
June 30 2021,Jefferson,WA,Truck,0,0,0,9622,9622,0.00
February 29 2020,Garfield,WA,Truck,0,0,0,963,963,0.00
September 30 2022,Wahkiakum,WA,Truck,1,0,1,1799,1800,0.06
December 31 2018,Benton,WA,Passenger,226,234,460,132906,133366,0.34
May 31 2019,St. Clair,IL,Passenger,0,1,1,162,163,0.61
November 30 2021,Wahkiakum,WA,Passenger,17,10,27,3090,3117,0.87
February 29 2024,Frederick,MD,Passenger,1,1,2,46,48,4.17
August 31 2023,Palm Beach,FL,Passenger,1,1,2,47,49,4.08
February 29 2020,Skamania,WA,Passenger,28,19,47,8768,8815,0.53
November 30 2020,Douglas,WA,Truck,0,0,0,12446,12446,0.00
April 30 2019,Cook,IL,Passenger,1,0,1,248,249,0.40
November 30 2021,Richland,SC,Passenger,0,2,2,137,139,1.44
January 31 2019,Hardin,KY,Passenger,0,1,1,100,101,0.99
October 31 2018,Howard,MD,Passenger,0,1,1,92,93,1.08
September 30 2021,Boone,MO,Passenger,0,1,1,11,12,8.33
March 31 2018,Shelby,TN,Passenger,0,1,1,105,106,0.94
January 31 2024,Charlottesville,VA,Passenger,0,1,1,4,5,20.00
January 31 2020,Mason,WA,Truck,0,0,0,20557,20557,0.00
September 30 2020,Whitman,WA,Passenger,47,47,94,21985,22079,0.43
December 31 2022,Clallam,WA,Passenger,484,262,746,49392,50138,1.49
December 31 2023,Laramie,WY,Passenger,1,0,1,26,27,3.70
March 31 2023,Wilson,TX,Passenger,0,1,1,3,4,25.00
November 30 2019,Pend Oreille,WA,Passenger,7,7,14,9513,9527,0.15
July 31 2020,Benton,WA,Truck,0,0,0,42877,42877,0.00
